file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00698_0151_1030179_to_1032867,ད་རྣལ་འབྱོར་པ་མར་ཉམས་པར་བྱེད་མཁན་གཙོ་བོ་དེ་ཨེ་ནས།  ,da rnal 'byor pa mar nyams par byed mkhan gtso bo de e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00698_0151_1030179_to_1032867.wav,STT_TT,3,51,2.688,wav16k/STT_TT00698_0151_1030179_to_1032867.wav,ད་རྣལ་འབྱོར་པ་མར་ཉམས་པར་བྱེད་མཁན་གཙོ་བོ་དེ་ཨེ་ནས།
STT_TT00724_0542_3288845_to_3291149,དེ་ཡིན་དུས་དེ་གསང་བ་ཆགས་བསྡད་པ་རེད། དེ་འདྲ་ཡིན་དུས།  ,de yin dus de gsang ba chags bsdad pa red/_de 'dra yin dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00724_0542_3288845_to_3291149.wav,STT_TT,3,53,2.304,wav16k/STT_TT00724_0542_3288845_to_3291149.wav,དེ་ཡིན་དུས་དེ་གསང་བ་ཆགས་བསྡད་པ་རེད། དེ་འདྲ་ཡིན་དུས།
STT_TT00698_0230_1552124_to_1555740,གསང་བ་འདུས་པའི་ལུས་དཀྱིལ་ཡོད་རེད་དེ། ལུས་དཀྱིལ་གི་ལྷ་དེ་ལུས་ལ་བརྟེན་གི་ཡོད་མ་རེད།  ,gsang ba 'dus pa'i lus dkyil yod red de/_lus dkyil gi lha de lus la brten gi yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00698_0230_1552124_to_1555740.wav,STT_TT,3,83,3.616,wav16k/STT_TT00698_0230_1552124_to_1555740.wav,གསང་བ་འདུས་པའི་ལུས་དཀྱིལ་ཡོད་རེད་དེ། ལུས་དཀྱིལ་གི་ལྷ་དེ་ལུས་ལ་བརྟེན་གི་ཡོད་མ་རེད།
STT_TT00733_0259_1538267_to_1543455,ཡོང་གི་རེད་བ། ང་རང་ཡང་རྒྱུད་ཐ་མལ་པ་རེད། ཨེ་ནས་དེ་འདྲའི་ཡིན་དུས། ནོར་བ་འཁྲུལ་བ་དེ་ཚོ་ཡོང་གི་ཡོད་རེད་དེ། ཅིག་དགོང་མོ་དབང་ ,yong gi red ba/_nga rang yang rgyud tha mal pa red/_e nas de 'dra'i yin dus/_nor ba 'khrul ba de tsho yong gi yod red de/_cig dgong mo dbang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00733_0259_1538267_to_1543455.wav,STT_TT,3,120,5.188,wav16k/STT_TT00733_0259_1538267_to_1543455.wav,ཡོང་གི་རེད་བ། ང་རང་ཡང་རྒྱུད་ཐ་མལ་པ་རེད། དེ་ནས་དེ་འདྲའི་ཡིན་དུས། ནོར་བ་འཁྲུལ་བ་དེ་ཚོ་ཡོང་གི་ཡོད་རེད་དེ།་དགོང་མོ་དབང་།
STT_TT00735_0047_309452_to_312684,འཇམ་དཔལ་དབྱངས་ནས་མགོ་བཙུགས་ནས། དེ་ལ་ཞི་བ་དང་དྲག་པོ་གཉིས།  ,'jam dpal dbyangs nas mgo btsugs nas/_de la zhi ba dang drag po gnyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00735_0047_309452_to_312684.wav,STT_TT,3,58,3.232,wav16k/STT_TT00735_0047_309452_to_312684.wav,འཇམ་དཔལ་དབྱངས་ནས་འགོ་བཙུགས་ནས། དེ་ལ་ཞི་བ་དང་དྲག་པོ་གཉིས།
STT_TT00734_0129_788643_to_792035,ཕྱག་འཚལ་ཞིང་མཆོད་པ་འབུལ་བ་ལ་སོགས་པ་ཡན་ལག་བདུན་པ་བགྱིའོ་སྙམ་པའི་ ,phyag 'tshal zhing mchod pa 'bul ba la sogs pa yan lag bdun pa bgyi'o snyam pa'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00734_0129_788643_to_792035.wav,STT_TT,3,64,3.392,wav16k/STT_TT00734_0129_788643_to_792035.wav,ཕྱག་འཚལ་ཞིང་མཆོད་པ་འབུལ་བ་ལ་སོགས་པ་ཡན་ལག་བདུན་པ་བལྗིའོ་སྙམ་པའི་
STT_TT00724_0507_3061660_to_3063772,གཏད་སོ་ཆགས་འགྲོ་བ་རེད། འཛིན་པ་ཆགས་ཀི་ཡོད་རེད།  ,gtad so chags 'gro ba red/_'dzin pa chags ki yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00724_0507_3061660_to_3063772.wav,STT_TT,3,47,2.112,wav16k/STT_TT00724_0507_3061660_to_3063772.wav,གཏད་སོ་ཆགས་འགྲོ་བ་རེད། འཛིན་པ་ཆགས་ཀི་ཡོད་རེད།
STT_TT00755_0035_196062_to_201086,དེ་ཡང་ཅིག་གི་སྒྲུབ་སྒྲུབ་མང་པོ་ཅིག་གི་ཐོག་ནས་ཡང་། ཕན་ཐོགས་ཆེན་པོ་ཅིག་ཡོང་ཡ་ལ། རེ་བ་ཆེན་པོ་བརྒྱབ་པ་ཡིན་ན་ཡང་།  ,de yang cig gi sgrub sgrub mang po cig gi thog nas yang /_phan thogs chen po cig yong ya la/_re ba chen po brgyab pa yin na yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00755_0035_196062_to_201086.wav,STT_TT,3,110,5.024,wav16k/STT_TT00755_0035_196062_to_201086.wav,དེ་ནས་ཡང་ཅིག་སྒྲུབ་སྒྲུབ་མང་པོ་ཅིག་གི་ཐོག་ནས་ཡང་། ཕན་ཐོགས་ཆེན་པོ་ཅིག་ཡོང་ཡ་ལ་རེ་བ་ཆེན་པོ་བརྒྱབ་པ་ཡིན་ན་ཡང་།
STT_TT00699_0177_1137244_to_1142500,དེ་རེད་ཡ་རེད་བ། དཔེར་ན། འཇམ་མགོན་ཀོང་སྤྲུལ་བློ་གྲོས་མཐའ་ཡས་ལ་ཆ་བཞག་ན། ད་ལྟ་གཏེར་མཛོད་འདི་བརྩམས་གནང་པའི་སྐབས་སུ་ལ་ཡ།  ,de red ya red ba/_dper na/_'jam mgon kong sprul blo gros mtha' yas la cha bzhag na/_da lta gter mdzod 'di brtsams gnang pa'i skabs su la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00699_0177_1137244_to_1142500.wav,STT_TT,3,117,5.256,wav16k/STT_TT00699_0177_1137244_to_1142500.wav,དེ་རེད་ཡ་རེད་བ། དཔེར་ན་ འཇམ་མགོན་ཀོང་ྤྲོལ་བློ་གྲོས་མཐའ་ཡས་དེ་ཆ་བཞག་ན། ད་ལྟ་གཏེར་མཛོད་འདི་བརྩམས་གནང་པའི་སྐབས་སུ་ལ་ཡ།
STT_TT00738_0250_1428477_to_1432317,འོད་གསལ་མ་བུ་ངོ་འཕྲོད་པ་ཟེར་ཡ་དེ་དེའི་སྐབས་ལ་ཡོང་། ད་རབ་བྱུང་ན་ད་ལྟ་ནས་ཡོང་དགོས་ཀི་ཡོད་རེད།  ,'od gsal ma bu ngo 'phrod pa zer ya de de'i skabs la yong /_da rab byung na da lta nas yong dgos ki yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00738_0250_1428477_to_1432317.wav,STT_TT,3,93,3.84,wav16k/STT_TT00738_0250_1428477_to_1432317.wav,འོད་གསལ་མར་བུ་ངོ་འཕྲོད་པ་ཟེར་ཡ་དེ། དེའི་སྐབས་ལ་ཡང་། ད་རབ་བྱུང་ན་ད་ལྟ་ནས་ཡོང་དགོས་ཀི་ཡོད་རེད།
